Geo_FIPS,Geo_QNAME,Geo_NAME,TOTAL POP_DEMOGRAPHICS,WHITE_POP,BLACK_POP,AMERICAN INDIAN_POP,ASIAN_POP,NATIVE HAWAIIAN-POP,OTHER_POP,TWO RACES _POP,TOTAL NUMBER HOUSEHOLD_INCOME,<10K,10-15K,15-20K,20-25K,25-30K,30-35K,35-40K,40-45K,45-50K,50-60K,60-75K,75-99K,100-125K,125-150K,150-200K,>200K,MEDIAN HOUSEHOLD_INCOME,OWNER HOUSEHOLD_MEDIAN INCOME,RENTER HOUSEHOLD_MEDIAN INCOME,TOTAL HOUSING UNITS ,OWNER HOUSING UNITS,RENTER HOUSING UNITS,WHITE OWNER HOUSING UNITS,NON WHITE OWNER HOUSING UNITS,MEDIAN HOUSE VALUE (OWNER),,OTHER ,"Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Second Mortgage Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Home Equity Loan Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Both Second Mortgage and Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: No Second Mortgage and No Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Home Equity Loan Without A Primary Mortgage",Owner-Occupied Housing Units: Housing Units Without a Mortgage,1 PERSON HOUSEHOLD,2 PERSON HOUSEHOLD,3 PERSON HOUSEHOLD,4 PERSON HOUSEHOLD,5 PERSON HOUSEHOLD,6 PERSON HOUSEHOLD,7 OR MORE PERSON HOUSEHOLD
25017352200,"Census Tract 3522, Middlesex County, Massachusetts",Census Tract 3522,1894,958,229,0,528,0,16,163,1024,141,29,111,28,22,17,20,10,0,27,33,140,106,98,88,154,88710,119375,77868,1147,210,937,80,130,788200,,,150,17,0,17,0,126,7,60,520,310,116,33,45,0,0
25017352300,"Census Tract 3523, Middlesex County, Massachusetts",Census Tract 3523,4678,2568,237,19,1409,0,79,366,2374,90,7,57,30,20,37,25,57,27,52,171,240,76,162,369,954,174310,126635,181462,2619,419,2200,365,54,955400,,,284,46,0,46,0,229,9,135,941,782,524,57,70,0,0
25017352400,"Census Tract 3524, Middlesex County, Massachusetts",Census Tract 3524,1801,474,832,0,217,0,100,178,697,26,43,33,60,32,32,42,7,47,45,34,111,46,46,32,61,55489,,49936,743,71,672,39,32,526800,,,65,0,0,0,0,65,0,6,190,184,173,71,33,31,15
25017352500,"Census Tract 3525, Middlesex County, Massachusetts",Census Tract 3525,2980,1768,505,0,457,0,122,128,1351,25,57,35,6,13,21,0,5,73,25,172,209,85,103,169,353,102464,132083,100464,1490,536,954,320,216,1052800,,,313,48,4,44,0,265,0,223,348,517,368,49,62,7,0
25017352600,"Census Tract 3526, Middlesex County, Massachusetts",Census Tract 3526,3091,1823,537,13,443,0,119,156,1294,51,9,76,30,17,4,8,0,73,77,90,120,119,79,164,377,121293,144706,102600,1311,376,935,245,131,928000,,,251,41,3,38,0,210,0,125,214,482,375,216,7,0,0
25017352700,"Census Tract 3527, Middlesex County, Massachusetts",Census Tract 3527,2102,1450,306,0,141,0,36,169,950,100,88,7,10,18,17,23,29,0,0,86,72,86,82,148,184,106979,250001,83942,1037,183,854,156,27,888200,,,108,17,17,0,0,91,0,75,335,337,125,79,74,0,0
25017352800,"Census Tract 3528, Middlesex County, Massachusetts",Census Tract 3528,1887,1095,130,0,245,0,52,365,796,18,0,0,0,22,32,0,6,74,11,26,61,200,46,58,242,118333,241250,111346,828,258,570,178,80,1117300,,,179,30,7,23,0,149,0,79,231,267,138,117,17,26,0
25017352900,"Census Tract 3529, Middlesex County, Massachusetts",Census Tract 3529,3143,2373,204,20,265,0,38,243,1335,0,8,0,35,12,37,7,43,9,32,78,212,93,61,190,518,153723,201970,102396,1446,732,714,593,139,1168700,,,453,111,0,111,0,333,9,279,369,497,241,164,23,26,15
25017353000,"Census Tract 3530, Middlesex County, Massachusetts",Census Tract 3530,2923,1931,268,0,367,0,43,314,1532,94,13,16,47,16,17,29,22,12,43,89,150,105,162,266,451,141667,166417,131583,1602,375,1227,335,40,1070800,,,207,0,0,0,0,198,9,168,628,607,210,58,29,0,0
25017353101,"Census Tract 3531.01, Middlesex County, Massachusetts",Census Tract 3531.01,3747,1745,749,0,735,1,195,322,1761,310,87,32,70,19,123,39,26,0,45,152,32,83,232,130,381,73558,158000,72853,1825,104,1721,52,52,1025600,,,78,0,0,0,0,78,0,26,706,713,219,105,13,5,0
